Date,Province,Temp_Mean,Precipitation_mm
2022-01-01,Aceh,24.7,13.3
2022-01-02,Aceh,24.9,1.0
2022-01-03,Aceh,25.1,9.6
2022-01-04,Aceh,24.8,29.7
2022-01-05,Aceh,24.9,7.3
2022-01-06,Aceh,25.3,3.5
2022-01-07,Aceh,26.1,0.8
2022-01-08,Aceh,25.4,12.8
2022-01-09,Aceh,25.4,7.7
2022-01-10,Aceh,25.2,2.5
2022-01-11,Aceh,26.1,0.0
2022-01-12,Aceh,25.6,2.3
2022-01-13,Aceh,25.3,0.7
2022-01-14,Aceh,26.3,0.0
2022-01-15,Aceh,25.9,0.0
2022-01-16,Aceh,25.8,0.7
2022-01-17,Aceh,25.1,11.2
2022-01-18,Aceh,25.5,0.1
2022-01-19,Aceh,25.6,0.0
2022-01-20,Aceh,25.4,0.9
2022-01-21,Aceh,25.4,0.7
2022-01-22,Aceh,25.5,1.7
2022-01-23,Aceh,25.2,1.7
2022-01-24,Aceh,24.6,4.5
2022-01-25,Aceh,25.4,1.8
2022-01-26,Aceh,26.6,0.3
2022-01-27,Aceh,26.5,3.7
2022-01-28,Aceh,26.4,4.3
2022-01-29,Aceh,25.7,1.2
2022-01-30,Aceh,26.2,0.2
2022-01-31,Aceh,26.1,0.6
2022-02-01,Aceh,25.5,5.2
2022-02-02,Aceh,26.1,4.1
2022-02-03,Aceh,26.3,0.7
2022-02-04,Aceh,26.0,1.5
2022-02-05,Aceh,25.8,2.2
2022-02-06,Aceh,25.3,15.9
2022-02-07,Aceh,24.5,17.6
2022-02-08,Aceh,25.8,0.4
2022-02-09,Aceh,24.8,20.7
2022-02-10,Aceh,25.1,2.0
2022-02-11,Aceh,25.5,3.9
2022-02-12,Aceh,25.7,1.9
2022-02-13,Aceh,25.8,2.8
2022-02-14,Aceh,25.3,14.3
2022-02-15,Aceh,24.9,22.6
2022-02-16,Aceh,25.0,9.6
2022-02-17,Aceh,25.3,7.3
2022-02-18,Aceh,26.2,1.7
2022-02-19,Aceh,26.4,0.3
2022-02-20,Aceh,26.6,0.0
2022-02-21,Aceh,26.5,1.7
2022-02-22,Aceh,25.5,19.4
2022-02-23,Aceh,25.3,7.6
2022-02-24,Aceh,26.0,0.6
2022-02-25,Aceh,25.3,11.9
2022-02-26,Aceh,25.0,2.8
2022-02-27,Aceh,24.4,17.9
2022-02-28,Aceh,24.5,20.7
2022-03-01,Aceh,25.1,6.6
2022-03-02,Aceh,25.7,2.1
2022-03-03,Aceh,26.1,0.0
2022-03-04,Aceh,26.8,0.8
2022-03-05,Aceh,25.4,4.4
2022-03-06,Aceh,26.1,5.1
2022-03-07,Aceh,25.8,6.1
2022-03-08,Aceh,24.7,30.7
2022-03-09,Aceh,25.1,25.6
2022-03-10,Aceh,25.1,6.2
2022-03-11,Aceh,25.0,24.0
2022-03-12,Aceh,25.7,1.1
2022-03-13,Aceh,25.7,1.7
2022-03-14,Aceh,25.8,8.3
2022-03-15,Aceh,26.0,11.2
2022-03-16,Aceh,25.6,9.0
2022-03-17,Aceh,25.6,17.4
2022-03-18,Aceh,25.9,3.6
2022-03-19,Aceh,25.8,5.8
2022-03-20,Aceh,25.4,6.1
2022-03-21,Aceh,26.6,0.9
2022-03-22,Aceh,26.9,0.1
2022-03-23,Aceh,26.0,9.3
2022-03-24,Aceh,25.6,2.6
2022-03-25,Aceh,25.7,6.3
2022-03-26,Aceh,26.1,3.4
2022-03-27,Aceh,26.6,4.4
2022-03-28,Aceh,26.3,0.9
2022-03-29,Aceh,26.3,3.6
2022-03-30,Aceh,26.0,3.4
2022-03-31,Aceh,26.4,3.3
2022-04-01,Aceh,26.7,2.0
2022-04-02,Aceh,26.6,2.9
2022-04-03,Aceh,25.1,16.9
2022-04-04,Aceh,25.7,1.2
2022-04-05,Aceh,25.2,3.7
2022-04-06,Aceh,24.6,15.6
2022-04-07,Aceh,25.5,8.8
2022-04-08,Aceh,26.2,2.0
2022-04-09,Aceh,25.8,8.2
2022-04-10,Aceh,26.6,3.3
2022-04-11,Aceh,26.2,1.7
2022-04-12,Aceh,26.6,0.1
2022-04-13,Aceh,26.7,0.4
2022-04-14,Aceh,27.1,1.7
2022-04-15,Aceh,27.1,0.7
2022-04-16,Aceh,26.8,2.2
2022-04-17,Aceh,26.6,1.1
2022-04-18,Aceh,27.2,0.0
2022-04-19,Aceh,26.9,8.2
2022-04-20,Aceh,25.8,10.5
2022-04-21,Aceh,26.5,1.9
2022-04-22,Aceh,26.4,1.3
2022-04-23,Aceh,25.8,17.5
2022-04-24,Aceh,26.8,4.3
2022-04-25,Aceh,26.5,12.4
2022-04-26,Aceh,26.6,3.2
2022-04-27,Aceh,27.0,0.2
2022-04-28,Aceh,27.7,0.6
2022-04-29,Aceh,27.2,1.2
2022-04-30,Aceh,27.2,0.2
2022-05-01,Aceh,27.3,0.0
2022-05-02,Aceh,26.9,1.4
2022-05-03,Aceh,25.6,9.9
2022-05-04,Aceh,26.6,4.3
2022-05-05,Aceh,25.8,31.6
2022-05-06,Aceh,25.5,41.3
2022-05-07,Aceh,26.3,10.3
2022-05-08,Aceh,27.0,0.8
2022-05-09,Aceh,26.7,6.0
2022-05-10,Aceh,27.3,0.3
2022-05-11,Aceh,27.1,0.7
2022-05-12,Aceh,27.5,0.1
2022-05-13,Aceh,27.3,0.5
2022-05-14,Aceh,27.8,0.0
2022-05-15,Aceh,27.8,0.9
2022-05-16,Aceh,27.8,0.6
2022-05-17,Aceh,27.9,0.0
2022-05-18,Aceh,27.5,0.0
2022-05-19,Aceh,27.6,0.0
2022-05-20,Aceh,27.6,0.0
2022-05-21,Aceh,27.4,0.4
2022-05-22,Aceh,27.5,0.2
2022-05-23,Aceh,28.3,0.0
2022-05-24,Aceh,28.5,0.0
2022-05-25,Aceh,28.4,0.2
2022-05-26,Aceh,28.0,0.3
2022-05-27,Aceh,28.1,1.0
2022-05-28,Aceh,26.8,2.8
2022-05-29,Aceh,25.8,7.7
2022-05-30,Aceh,27.1,1.8
2022-05-31,Aceh,27.2,1.5
2022-06-01,Aceh,25.6,14.3
2022-06-02,Aceh,26.2,1.7
2022-06-03,Aceh,26.4,1.5
2022-06-04,Aceh,27.6,0.3
2022-06-05,Aceh,27.3,0.2
2022-06-06,Aceh,27.1,0.0
2022-06-07,Aceh,27.4,0.0
2022-06-08,Aceh,27.3,0.0
2022-06-09,Aceh,27.7,0.0
2022-06-10,Aceh,26.0,12.3
2022-06-11,Aceh,26.9,5.2
2022-06-12,Aceh,26.7,1.3
2022-06-13,Aceh,26.6,3.5
2022-06-14,Aceh,26.2,5.6
2022-06-15,Aceh,26.1,1.1
2022-06-16,Aceh,26.6,0.0
2022-06-17,Aceh,26.9,0.0
2022-06-18,Aceh,27.1,0.0
2022-06-19,Aceh,26.8,0.8
2022-06-20,Aceh,26.6,2.0
2022-06-21,Aceh,26.0,18.1
2022-06-22,Aceh,26.1,3.9
2022-06-23,Aceh,25.4,6.8
2022-06-24,Aceh,26.3,0.4
2022-06-25,Aceh,26.6,1.3
2022-06-26,Aceh,26.3,1.2
2022-06-27,Aceh,26.5,1.2
2022-06-28,Aceh,27.0,0.2
2022-06-29,Aceh,27.3,0.2
2022-06-30,Aceh,28.2,0.0
2022-07-01,Aceh,26.6,11.3
2022-07-02,Aceh,26.9,0.2
2022-07-03,Aceh,26.5,2.1
2022-07-04,Aceh,25.8,7.8
2022-07-05,Aceh,27.1,6.3
2022-07-06,Aceh,28.1,0.0
2022-07-07,Aceh,27.7,0.0
2022-07-08,Aceh,28.7,0.3
2022-07-09,Aceh,28.1,0.6
2022-07-10,Aceh,28.1,0.0
2022-07-11,Aceh,26.8,6.4
2022-07-12,Aceh,25.6,5.7
2022-07-13,Aceh,26.1,3.2
2022-07-14,Aceh,27.4,0.5
2022-07-15,Aceh,27.8,0.0
2022-07-16,Aceh,27.8,0.7
2022-07-17,Aceh,28.1,0.0
2022-07-18,Aceh,27.8,0.0
2022-07-19,Aceh,27.9,0.0
2022-07-20,Aceh,28.2,0.0
2022-07-21,Aceh,27.5,1.4
2022-07-22,Aceh,27.0,6.3
2022-07-23,Aceh,26.1,9.4
2022-07-24,Aceh,25.2,11.5
2022-07-25,Aceh,25.8,10.9
2022-07-26,Aceh,25.1,5.6
2022-07-27,Aceh,25.2,8.3
2022-07-28,Aceh,26.0,2.5
2022-07-29,Aceh,26.1,4.2
2022-07-30,Aceh,26.4,0.7
2022-07-31,Aceh,26.4,1.1
2022-08-01,Aceh,26.9,0.3
2022-08-02,Aceh,25.3,10.3
2022-08-03,Aceh,25.6,8.2
2022-08-04,Aceh,26.5,0.0
2022-08-05,Aceh,27.4,0.0
2022-08-06,Aceh,26.9,0.6
2022-08-07,Aceh,27.8,0.0
2022-08-08,Aceh,27.2,0.0
2022-08-09,Aceh,27.8,0.0
2022-08-10,Aceh,27.6,0.0
2022-08-11,Aceh,27.2,0.0
2022-08-12,Aceh,27.8,0.0
2022-08-13,Aceh,28.1,0.0
2022-08-14,Aceh,27.5,0.1
2022-08-15,Aceh,27.4,0.0
2022-08-16,Aceh,27.9,0.9
2022-08-17,Aceh,28.0,1.0
2022-08-18,Aceh,27.9,1.0
2022-08-19,Aceh,27.6,0.8
2022-08-20,Aceh,27.6,1.1
2022-08-21,Aceh,27.1,1.4
2022-08-22,Aceh,25.5,11.8
2022-08-23,Aceh,27.1,2.1
2022-08-24,Aceh,26.4,6.6
2022-08-25,Aceh,25.3,27.1
2022-08-26,Aceh,26.0,5.5
2022-08-27,Aceh,25.7,3.1
2022-08-28,Aceh,26.8,2.8
2022-08-29,Aceh,26.8,0.9
2022-08-30,Aceh,25.7,22.6
2022-08-31,Aceh,26.1,0.6
2022-09-01,Aceh,25.6,7.9
2022-09-02,Aceh,26.3,1.3
2022-09-03,Aceh,26.1,1.3
2022-09-04,Aceh,27.2,0.1
2022-09-05,Aceh,27.7,0.0
2022-09-06,Aceh,27.4,0.0
2022-09-07,Aceh,25.3,11.8
